DATE,NYGDPMKTPCDWLD
2011-01-01,73357420394392.0
2011-01-01,73357420394392.0
2011-01-01,73357420394392.0
2012-01-01,75045654452275.2
2012-01-01,75045654452275.2
2012-01-01,75045654452275.2
2012-01-01,75045654452275.2
2012-01-01,75045654452275.2
2012-01-01,75045654452275.2
2012-01-01,75045654452275.2
2012-01-01,75045654452275.2
2012-01-01,75045654452275.2
2012-01-01,75045654452275.2
2012-01-01,75045654452275.2
2012-01-01,75045654452275.2
2013-01-01,77189608277384.9
2013-01-01,77189608277384.9
2013-01-01,77189608277384.9
2013-01-01,77189608277384.9
2013-01-01,77189608277384.9
2013-01-01,77189608277384.9
2013-01-01,77189608277384.9
2013-01-01,77189608277384.9
2013-01-01,77189608277384.9
2013-01-01,77189608277384.9
2013-01-01,77189608277384.9
2013-01-01,77189608277384.9
2014-01-01,79296107902414.6
2014-01-01,79296107902414.6
2014-01-01,79296107902414.6
2014-01-01,79296107902414.6
2014-01-01,79296107902414.6
2014-01-01,79296107902414.6
2014-01-01,79296107902414.6
2014-01-01,79296107902414.6
2014-01-01,79296107902414.6
2014-01-01,79296107902414.6
2014-01-01,79296107902414.6
2014-01-01,79296107902414.6
2015-01-01,75003074210656.5
2015-01-01,75003074210656.5
2015-01-01,75003074210656.5
2015-01-01,75003074210656.5
2015-01-01,75003074210656.5
2015-01-01,75003074210656.5
2015-01-01,75003074210656.5
2015-01-01,75003074210656.5
2015-01-01,75003074210656.5
2015-01-01,75003074210656.5
2015-01-01,75003074210656.5
2015-01-01,75003074210656.5
2016-01-01,76102831192800.1
2016-01-01,76102831192800.1
2016-01-01,76102831192800.1
2016-01-01,76102831192800.1
2016-01-01,76102831192800.1
2016-01-01,76102831192800.1
2016-01-01,76102831192800.1
2016-01-01,76102831192800.1
2016-01-01,76102831192800.1
2016-01-01,76102831192800.1
2016-01-01,76102831192800.1
2016-01-01,76102831192800.1
2017-01-01,80891341462319.1
2017-01-01,80891341462319.1
2017-01-01,80891341462319.1
2017-01-01,80891341462319.1
2017-01-01,80891341462319.1
2017-01-01,80891341462319.1
2017-01-01,80891341462319.1
2017-01-01,80891341462319.1
2017-01-01,80891341462319.1
2017-01-01,80891341462319.1
2017-01-01,80891341462319.1
2017-01-01,80891341462319.1
2018-01-01,85804390603622.0
2018-01-01,85804390603622.0
2018-01-01,85804390603622.0
2018-01-01,85804390603622.0
2018-01-01,85804390603622.0
2018-01-01,85804390603622.0
2018-01-01,85804390603622.0
2018-01-01,85804390603622.0
2018-01-01,85804390603622.0
2018-01-01,85804390603622.0
2018-01-01,85804390603622.0
2018-01-01,85804390603622.0
