,NA000334Q,Oil,Weekly U.S. Ending Stocks of Crude Oil  (Thousand Barrels)
1995-01-01,1835147,325.0,901992.0
1995-04-01,1897424,328.0,911310.0
1995-04-01,1897424,328.0,911310.0
1995-04-01,1897424,328.0,911310.0
1995-07-01,1922827,300.0,890938.0
1995-07-01,1922827,300.0,890938.0
1995-07-01,1922827,300.0,890938.0
1995-10-01,1984353,331.0,874276.0
1995-10-01,1984353,331.0,874276.0
1995-10-01,1984353,331.0,874276.0
1996-01-01,1925313,294.0,881163.0
1996-01-01,1925313,294.0,881163.0
1996-01-01,1925313,294.0,881163.0
1996-04-01,2005112,285.0,868931.0
1996-04-01,2005112,285.0,868931.0
1996-04-01,2005112,285.0,868931.0
1996-07-01,2035152,289.0,878473.0
1996-07-01,2035152,289.0,878473.0
1996-07-01,2035152,289.0,878473.0
1996-10-01,2107553,319.0,859551.0
1996-10-01,2107553,319.0,859551.0
1996-10-01,2107553,319.0,859551.0
1997-01-01,2043518,342.0,838890.0
1997-01-01,2043518,342.0,838890.0
1997-01-01,2043518,342.0,838890.0
1997-04-01,2129626,373.0,860915.0
1997-04-01,2129626,373.0,860915.0
1997-04-01,2129626,373.0,860915.0
1997-07-01,2166497,381.0,864364.0
1997-07-01,2166497,381.0,864364.0
1997-07-01,2166497,381.0,864364.0
1997-10-01,2237911,390.0,852718.0
1997-10-01,2237911,390.0,852718.0
1997-10-01,2237911,390.0,852718.0
1998-01-01,2160749,379.0,861217.0
1998-01-01,2160749,379.0,861217.0
1998-01-01,2160749,379.0,861217.0
1998-04-01,2249930,291.0,884571.0
1998-04-01,2249930,291.0,884571.0
1998-04-01,2249930,291.0,884571.0
1998-07-01,2281444,264.0,887173.0
1998-07-01,2281444,264.0,887173.0
1998-07-01,2281444,264.0,887173.0
1998-10-01,2370698,214.0,879127.0
1998-10-01,2370698,214.0,879127.0
1998-10-01,2370698,214.0,879127.0
1999-01-01,2293218,125.0,880846.0
1999-01-01,2293218,125.0,880846.0
1999-01-01,2293218,125.0,880846.0
1999-04-01,2388561,125.0,896713.0
1999-04-01,2388561,125.0,896713.0
1999-04-01,2388561,125.0,896713.0
1999-07-01,2423833,108.0,888771.0
1999-07-01,2423833,108.0,888771.0
1999-07-01,2423833,108.0,888771.0
1999-10-01,2525048,137.0,860767.0
1999-10-01,2525048,137.0,860767.0
1999-10-01,2525048,137.0,860767.0
2000-01-01,2449139,142.0,841987.0
2000-01-01,2449139,142.0,841987.0
2000-01-01,2449139,142.0,841987.0
2000-04-01,2569476,191.0,856023.0
2000-04-01,2569476,191.0,856023.0
2000-04-01,2569476,191.0,856023.0
2000-07-01,2578060,208.0,845293.0
2000-07-01,2578060,208.0,845293.0
2000-07-01,2578060,208.0,845293.0
2000-10-01,2655679,211.0,839117.0
2000-10-01,2655679,211.0,839117.0
2000-10-01,2655679,211.0,839117.0
2001-01-01,2562436,238.0,810545.0
2001-01-01,2562436,238.0,810545.0
2001-01-01,2562436,238.0,810545.0
2001-04-01,2656364,246.0,838453.0
2001-04-01,2656364,246.0,838453.0
2001-04-01,2656364,246.0,838453.0
2001-07-01,2651331,218.0,840538.0
2001-07-01,2651331,218.0,840538.0
2001-07-01,2651331,218.0,840538.0
2001-10-01,2711685,198.0,834154.0
2001-10-01,2711685,198.0,834154.0
2001-10-01,2711685,198.0,834154.0
2002-01-01,2631502,141.0,848945.0
2002-01-01,2631502,141.0,848945.0
2002-01-01,2631502,141.0,848945.0
2002-04-01,2724224,136.0,869994.0
2002-04-01,2724224,136.0,869994.0
2002-04-01,2724224,136.0,869994.0
2002-07-01,2753434,132.0,874057.0
2002-07-01,2753434,132.0,874057.0
2002-07-01,2753434,132.0,874057.0
2002-10-01,2827263,139.0,852260.0
2002-10-01,2827263,139.0,852260.0
2002-10-01,2827263,139.0,852260.0
2003-01-01,2744149,132.0,857519.0
2003-01-01,2744149,132.0,857519.0
2003-01-01,2744149,132.0,857519.0
2003-04-01,2832509,184.0,865061.0
2003-04-01,2832509,184.0,865061.0
2003-04-01,2832509,184.0,865061.0
2003-07-01,2887132,153.0,871873.0
2003-07-01,2887132,153.0,871873.0
2003-07-01,2887132,153.0,871873.0
2003-10-01,2994460,157.0,899713.0
2003-10-01,2994460,157.0,899713.0
2003-10-01,2994460,157.0,899713.0
2004-01-01,2922104,142.0,890053.0
2004-01-01,2922104,142.0,890053.0
2004-01-01,2922104,142.0,890053.0
2004-04-01,3033260,153.0,934757.0
2004-04-01,3033260,153.0,934757.0
2004-04-01,3033260,153.0,934757.0
2004-07-01,3068978,170.0,948498.0
2004-07-01,3068978,170.0,948498.0
2004-07-01,3068978,170.0,948498.0
2004-10-01,3189392,170.0,934347.0
2004-10-01,3189392,170.0,934347.0
2004-10-01,3189392,170.0,934347.0
2005-01-01,3109156,177.0,954322.0
2005-01-01,3109156,177.0,954322.0
2005-01-01,3109156,177.0,954322.0
2005-04-01,3231134,171.0,995314.0
2005-04-01,3231134,171.0,995314.0
2005-04-01,3231134,171.0,995314.0
2005-07-01,3305748,170.0,1001763.0
2005-07-01,3305748,170.0,1001763.0
2005-07-01,3305748,170.0,1001763.0
2005-10-01,3390598,216.0,985260.0
